time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,8,8,14.0,5.0
2025-06-14 00:00:00+00:00,4,4,1.0,1.0
2025-06-15 00:00:00+00:00,5,5,1.0,1.0
2025-06-16 00:00:00+00:00,3,3,14.0,7.0
2025-06-17 00:00:00+00:00,6,6,43.0,4.0
2025-06-18 00:00:00+00:00,5,5,7.0,3.0
2025-06-19 00:00:00+00:00,41,11,6.0,1.0
2025-06-20 00:00:00+00:00,2,2,1.0,1.0
2025-06-21 00:00:00+00:00,3,3,,
2025-06-22 00:00:00+00:00,2,2,2.0,1.0
2025-06-23 00:00:00+00:00,13,8,35.0,4.0
2025-06-24 00:00:00+00:00,3,3,7.0,2.0
2025-06-25 00:00:00+00:00,2,2,3.0,2.0
2025-06-26 00:00:00+00:00,1,1,10.0,3.0
