time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,35,15,2,2
2026-05-27 00:00:00+00:00,25,9,17,3
2026-05-28 00:00:00+00:00,22,8,10,4
2026-05-29 00:00:00+00:00,17,8,9,3
2026-05-30 00:00:00+00:00,14,5,0,0
2026-05-31 00:00:00+00:00,11,6,12,1
2026-06-01 00:00:00+00:00,16,7,4,2
2026-06-02 00:00:00+00:00,0,0,0,0
2026-06-03 00:00:00+00:00,15,6,20,1
2026-06-04 00:00:00+00:00,36,27,7,2
2026-06-05 00:00:00+00:00,21,7,1,1
2026-06-06 00:00:00+00:00,93,47,1,1
2026-06-07 00:00:00+00:00,13,7,10,1
2026-06-08 00:00:00+00:00,17,8,0,0
