time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-20 00:00:00+00:00,5,4,0,0
2026-08-21 00:00:00+00:00,4,4,0,0
2026-08-22 00:00:00+00:00,3,3,1,1
2026-08-23 00:00:00+00:00,3,2,5,2
2026-08-24 00:00:00+00:00,4,3,4,1
2026-08-25 00:00:00+00:00,2,2,1,1
2026-08-26 00:00:00+00:00,4,3,2,2
2026-08-27 00:00:00+00:00,4,3,31,4
2026-08-28 00:00:00+00:00,22,9,20,1
2026-08-29 00:00:00+00:00,1306,5,0,0
2026-08-30 00:00:00+00:00,7,4,0,0
2026-08-31 00:00:00+00:00,6,4,5,2
2026-09-01 00:00:00+00:00,29,9,62,5
2026-09-02 00:00:00+00:00,3,3,1,1
