time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-11 00:00:00+00:00,8,8,,
2025-10-12 00:00:00+00:00,8,7,,
2025-10-13 00:00:00+00:00,10,7,21.0,6.0
2025-10-14 00:00:00+00:00,22,7,6.0,6.0
2025-10-15 00:00:00+00:00,3,3,,
2025-10-16 00:00:00+00:00,1,1,3.0,3.0
2025-10-17 00:00:00+00:00,2,2,25.0,4.0
2025-10-18 00:00:00+00:00,8,3,32.0,1.0
2025-10-19 00:00:00+00:00,13,4,1.0,1.0
2025-10-20 00:00:00+00:00,3,3,11.0,2.0
2025-10-21 00:00:00+00:00,18,8,19.0,5.0
2025-10-22 00:00:00+00:00,12,7,6.0,3.0
2025-10-23 00:00:00+00:00,19,4,1.0,1.0
2025-10-24 00:00:00+00:00,1,1,22.0,9.0
